FOCAL,INDUCER,TREATMENT,SUBPLOT,FILENAME,PLOT,POSITION,COMBO,RESIDENT.CODE,LEAF.TYPE,LEAF.LENGTH.SQUARES,LEAF.MAX.WIDTH,POSITION.MAX.WIDTH,FORM,MARGINS,LOBES,TOTAL.AREA,AVERAGE.SIZE,PERCENT.AREA,MAJOR,MINOR,ANGLE,CIRCULARITY,SOLODITY,COMMENTS
Sin,None,None(Sin),10-A,10A_7LL.JPG,10,7,10-A:7,None-2,Longest,32.839,18.327,14.721,Elliptic,toothed,,392.485,392.485,54.599,29.679,16.838,1.652,0.224,0.883,
Sin,None,None(Sin),10-A,10A_7ML.JPG,10,7,10-A:7,None-2,Medium leaf,19.211,10.042,3.908,ovate,toothed,,132.334,132.334,40.336,18.007,9.357,97.178,0.377,0.879,
Bug,Sin,Sin(Bug),10-A,10A_8LL.JPG,10,8,10-A:8,None-2,Longest,7.837,1.914,5.367,obovate,smooth,,10.657,10.657,15,7.39,1.836,61.655,0.387,0.948,
Bug,Sin,Sin(Bug),10-A,10A_8ML.JPG,10,8,10-A:8,None-2,Medium leaf,5.59,1.563,3.523,oblong,smooth,,6.953,6.953,17.594,5.656,1.565,46.494,0.457,0.958,
Sin,Pap,Pap(Sin),10-A,10A_9LL.JPG,10,9,10-A:9,None-2,Longest,20.405,10.969,9.688,Elliptic,crenate,,159.548,159.548,47.888,19.494,10.421,10.853,0.407,0.91,
Sin,Pap,Pap(Sin),10-A,10A_9ML.JPG,10,9,10-A:9,None-2,Medium leaf,13.665,11.185,4.414,ovate,crenate,,123.246,123.246,51.861,14.919,10.519,175.903,0.522,0.925,
Bug,None,None(Bug),10-A,10A_10LL.JPG,10,10,10-A:10,None-2,Longest,10.713,2.584,3.561,oblong,smooth,,22.732,22.732,24.017,11.306,2.56,130.806,0.36,0.968,
Bug,None,None(Bug),10-A,10A_10ML.JPG,10,10,10-A:10,None-2,Medium leaf,8.123,1.544,4.476,oblong,smooth,,12.429,12.429,18.42,8.156,1.94,93.224,0.254,0.833,
Pap,None,None(Pap),10-A,10A_11LL.JPG,10,11,10-A:11,None-2,Longest,16.415,7.577,6.074,ovate,toothed,5,73.309,73.309,34.877,15.258,6.118,7.968,0.241,0.775,
Pap,None,None(Pap),10-A,10A_11ML.JPG,10,11,10-A:11,None-2,Medium leaf,9.33,2.372,4.848,Elliptic,toothed,7,18.909,18.909,19.117,8.275,2.909,42.261,0.104,0.758,
